city,matched_city,state
Mohali,Mohali,Punjab
Chennai,Chennai,Tamil Nadu
Faridabad,Faridabad,Haryana
Meerut,Meerut,Uttar Pradesh
Kolkata,Kolkata,West Bengal
Panchkula,Panchkula,Haryana
Gulbarga,Gulbarga,Karnataka
Coimbatore,Coimbatore,Tamil Nadu
Ahmedabad,Ahmedabad,Gujarat
Surat,Surat,Gujarat
Lucknow,Lucknow,Uttar Pradesh
Chandigarh,Chandigarh,Chandigarh *
Ludhiana,Ludhiana,Punjab
Kharagpur,Kharagpur,West Bengal
Hyderabad,Hyderabad,Uttar Pradesh
Vadodara,Vadodara,Gujarat
Pune,Pune,Maharashtra
Gurugram,Gurugram,Haryana
Navi,Navi Mumbai,Maharashtra
Noida,Noida,Uttar Pradesh
Kharar,Kharar,Punjab
Delhi,Delhi,Delhi
Ambala,Ambala,Haryana
Mumbai,Mumbai,Maharashtra
Ghaziabad,Ghaziabad,Uttar Pradesh
Sangli,Sangli,Maharashtra
Thane,Thane,Maharashtra
Mysore,Mysore,Karnataka
Howrah,Howrah,West Bengal
Bangalore,Bangalore,Karnataka
Ranga,Ranga Reddy,Telangana
